cod;classes;bandas;value;comp_onda
2;agua;Blue;0,01544875;0,48
2;agua;Blue;0,0272875;0,48
2;agua;Blue;0,03254;0,48
2;agua;Blue;0,0279475;0,48
2;agua;Blue;0,02418;0,48
2;agua;Blue;0,0192575;0,48
2;agua;Blue;0,02636625;0,48
2;agua;Blue;0,05025;0,48
2;agua;Blue;0,0185425;0,48
2;agua;Blue;0,02077;0,48
2;agua;Blue;0,0269025;0,48
2;agua;Blue;0,0150775;0,48
2;agua;Blue;0,0277825;0,48
2;agua;Blue;0,0196975;0,48
2;agua;Blue;0,01366125;0,48
2;agua;Blue;0,03907125;0,48
2;agua;Blue;0,02730125;0,48
2;agua;Blue;0,030175;0,48
2;agua;Blue;0,0245925;0,48
2;agua;Blue;0,0258025;0,48
2;agua;Blue;0,03001;0,48
2;agua;Blue;0,02075625;0,48
2;agua;Blue;0,01307;0,48
2;agua;Blue;0,021705;0,48
2;agua;Blue;0,02312125;0,48
2;agua;Blue;0,0325125;0,48
2;agua;Blue;0,01715375;0,48
2;agua;Blue;0,0212925;0,48
2;agua;Blue;0,0176075;0,48
2;agua;Blue;0,0170025;0,48
2;agua;Blue;0,02774125;0,48
2;agua;Blue;0,02523875;0,48
2;agua;Blue;0,0149125;0,48
2;agua;Blue;0,0656225;0,48
2;agua;Blue;0,022695;0,48
2;agua;Blue;0,0363075;0,48
2;agua;Blue;0,022695;0,48
2;agua;Blue;0,02185625;0,48
2;agua;Blue;0,0191475;0,48
2;agua;Blue;0,031385;0,48
2;agua;Blue;0,02836;0,48
2;agua;Blue;0,0229975;0,48
2;agua;Blue;0,0161775;0,48
2;agua;Blue;0,031165;0,48
2;agua;Blue;0,01978;0,48
2;agua;Blue;0,019395;0,48
2;agua;Blue;0,023795;0,48
2;agua;Blue;0,0173325;0,48
2;agua;Blue;0,0212925;0,48
2;agua;Blue;0,01025125;0,48
